Gene,exprs
NUP62,0.124777107
ARFIP2,0.007115414
LSM5,0.487152962
PLA2G15,-0.152872533
ZNF318,-0.110022315
ABL1,-0.582967777
FUT1,0.333362195
FYN,-0.293027823
SLC37A4,0.16944945
GAA,-0.191960495
GABPB1,0.933838733
EML3,-0.640155782
FBXO7,0.372246313
SPDEF,0.431345695
BAMBI,-0.174644937
GALE,0.04240388
BACE2,-0.439652342
COG4,-0.118378024
MPC2,0.825170392
CLIC4,0.205970202
C2CD2,-0.20881192
GAPDH,-0.882167112
TIPARP,-0.237070814
TSKU,-0.950390081
RNF167,-0.226517518
LRP10,-0.96066128
ZNF451,0.173144689
SENP6,0.229017895
RAI14,-0.047952911
TES,-0.417913549
PHGDH,-0.15193961
GATA2,-0.461749725
GATA3,-0.554399477
MYCBP,0.075327012
CHIC2,-0.117620284
TIMM9,0.482738797
GFPT1,0.753613264
GHR,-0.177275361
AKAP8L,0.015834214
ATP2C1,0.208727967
TRAPPC3,0.103195047
TNFRSF21,0.735680757
SESN1,0.034092059
HTATSF1,0.645473986
TMEM97,0.499800354
GLI2,-0.59063851
GLRX,0.772318116
GNA11,-0.312443624
GNA15,0.134096298
GNAI1,1.069015808
GNAI2,-0.621018315
GNAS,-0.917535922
SFN,0.926232664
GPC1,-0.154961327
GPER1,-0.231034503
GRB7,0.217756531
GRB10,0.619757011
GRN,-0.129607026
BZW2,0.812343757
NR3C1,0.953479296
CHMP4A,-0.03455556
GTPBP8,0.778978654
SLC25A4,1.305202433
DNAJC15,0.076328104
CXCL2,-0.551887317
GSTM2,-0.665504281
GSTZ1,0.793692466
MSH6,0.254507781
GTF2A2,0.81073836
GTF2E2,0.038115682
PACSIN3,-0.313842452
RBM15B,-0.369859713
HOOK2,-0.085947981
SNX11,-0.090980871
TIMM22,0.222533475
NENF,0.073378133
UBQLN2,1.038853328
ACAA1,-0.239668853
ERO1A,0.457594066
HSD17B10,0.085552952
HADH,0.138430754
HDAC2,0.971368247
DNTTIP2,0.575193378
PIK3R4,0.424362776
HIF1A,0.424831718
HK1,0.785169405
ANXA7,0.479886964
HMGCR,1.44045283
HMGCS1,1.915584386
HMOX1,-0.330560319
HOXA5,0.19494786
HOXA10,0.077895694
APBB2,1.412770235
HPRT1,1.588376997
HES1,-0.811434953
BIRC2,0.042504617
DNAJB2,-0.3085256
HSPA1A,0.088670913
HSPA4,1.044932142
HSPA8,1.348199184
HSPB1,-0.852219002
BIRC5,0.454560874
HSPD1,0.179718108
DNAJB1,0.230098524
ICAM1,0.024376401
ICAM3,-0.016518722
ID2,0.20255887
IDE,0.235371176
IFNAR1,-0.013259947
APOE,-0.807816184
IGF1R,-0.064236
IGF2R,0.358024358
IGFBP3,0.327377853
IGHMBP2,-0.166371908
APP,1.241912694
FAS,0.016409958
IKBKB,0.048141921
IL1B,0.583804709
IL4R,-0.706771574
IL13RA1,0.001032108
ILK,-0.048312744
INPP1,0.36951034
INSIG1,0.536619421
ITGAE,0.338365421
ITGB5,-0.315681166
JUN,-0.496533662
KCNK1,2.026697648
KIF5C,-0.030898906
KIT,1.101273898
RHOA,-0.241683114
KTN1,0.146096035
ACAT2,0.604399622
LAMA3,-0.214118111
ARHGAP1,-0.146718123
STMN1,1.673743385
LBR,-0.3377086
LGALS8,1.567035369
LIG1,0.424980594
LIPA,0.32296304
LOXL1,-0.292478984
LRPAP1,0.835914652
LYN,-0.221491875
SMAD3,0.406666138
MAN2B1,-0.285198571
MAT2A,0.273398028
MBNL1,0.183230857
MCM3,0.235190602
ME2,1.061016508
MEF2C,1.493333248
MAP3K4,0.129760238
MEST,1.685543377
ASAH1,0.007078635
MIF,0.50295009
FOXO4,-1.074463526
MMP1,0.013826893
MMP2,-0.398285443
MNAT1,0.312377713
MSRA,0.673916414
MUC1,-0.239587015
MYBL2,0.082369199
MYC,-0.503795304
GADD45B,-0.469803922
MYLK,0.354818353
MYO10,-0.368939958
ATF1,0.238168411
NCK1,0.255629517
ACLY,1.169737819
NFATC3,0.142971611
NFATC4,-0.106552848
NFE2L2,-0.334436043
NFIL3,0.156839502
NFKB2,-0.659479866
NFKBIA,-0.864557361
NFKBIB,-0.268730517
NFKBIE,0.773145916
ATP1B1,1.460190986
NIT1,0.732175548
NMT1,-0.164732989
NOS3,-0.037338779
CNOT4,0.002619713
NOTCH1,-0.583903473
PNP,-0.381897981
NPC1,0.107270821
SLC11A2,-0.134628856
NRAS,0.573238942
NUCB2,0.529613292
NUP88,0.37289305
NVL,0.479151266
ORC1,0.442433269
ALDH7A1,-0.222639201
OXA1L,0.883739532
OXCT1,1.782475915
PAFAH1B1,1.419131251
PAFAH1B3,-0.616816975
SERPINE1,0.015338705
PAK1,3.169528035
COPS7A,1.02280132
NSDHL,0.740941895
HEBP1,0.191681561
PCBD1,-0.225093787
PCCB,0.741643204
MTERF3,0.477197221
AMDHD2,0.345106414
ISOC1,0.750298661
MRPS16,0.072555208
FIS1,0.097689047
GOLT1B,0.711604576
GLOD4,0.837176183
GMNN,0.231182136
LAP3,0.573382982
PCK2,0.244489781
NOSIP,0.359485713
DERA,-0.013525873
PCM1,0.548887132
SCCPDH,0.394037316
PCMT1,1.852275507
PCNA,0.87729783
MRPS2,0.075334754
VPS28,0.037933138
HSD17B11,0.498636805
NUSAP1,0.329141118
SCAND1,0.928746783
CD320,-0.026656734
NGRN,0.389809587
SNX7,0.421548619
ATP6V1D,0.859530377
ZNF589,0.111072263
PRKAG2,1.190235695
UBE2J1,0.014943348
EVL,-0.041172348
HACD3,1.447040363
PDGFA,-0.255724095
UFM1,0.29706985
LSR,-0.588305935
DHRS7,0.563460053
CAB39,0.649635949
ARID4B,-0.031136932
PFKL,0.012082369
PGAM1,0.561730684
PGM1,0.069364759
PHKA1,-0.59792345
PHKB,0.578228389
PHKG2,0.295475869
PIK3C2B,0.256397503
PIK3C3,0.008260683
PIK3CA,0.636241234
PIN1,1.028140308
PLA2G4A,0.262940454
ATP6V0B,-2.025287715
PLCB3,-0.039492784
NUDT9,0.517337271
PLK1,-0.267763805
PLP2,-0.581974911
PLS1,0.576046305
PLSCR1,-1.187005718
PMAIP1,-0.021105302
PMM2,0.618265503
CYCS,0.795427821
POLB,0.395253156
POLE2,-0.039903636
POLR2I,0.219749455
TERF2IP,1.599736181
POLR2K,1.113363513
GFOD1,0.416220769
KCTD5,-0.199758049
TMCO1,0.24134298
DHX29,0.060857416
EXOSC4,0.192194621
